Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;02 Aragón;2;2012;830,9
Total;02 Aragón;2;2011;879,6
Total;02 Aragón;2;2010;886,1
Total;02 Aragón;2;2009;868,4
Total;02 Aragón;2;2008;888,3
Total;02 Aragón;2;2007;829,1
Total;02 Aragón;2;2006;807,0
Total;02 Aragón;3;2024;1.493,9
Total;02 Aragón;3;2023;1.438,3
Total;02 Aragón;3;2022;1.337,6
Total;02 Aragón;3;2021;1.259,0
Total;02 Aragón;3;2020;1.244,0
Total;02 Aragón;3;2019;1.215,9
Total;02 Aragón;3;2018;1.160,4
Total;02 Aragón;3;2017;1.129,4
Total;02 Aragón;3;2016;1.127,2
Total;02 Aragón;3;2015;1.102,3
Total;02 Aragón;3;2014;1.102,3
Total;02 Aragón;3;2013;1.106,0
Total;02 Aragón;3;2012;1.117,2
Total;02 Aragón;3;2011;1.129,9
Total;02 Aragón;3;2010;1.145,2
Total;02 Aragón;3;2009;1.118,7
Total;02 Aragón;3;2008;1.119,4
Total;02 Aragón;3;2007;1.059,9
Total;02 Aragón;3;2006;1.007,5
Total;02 Aragón;4;2024;1.686,5
Total;02 Aragón;4;2023;1.634,5
Total;02 Aragón;4;2022;1.525,1
Total;02 Aragón;4;2021;1.455,8
Total;02 Aragón;4;2020;1.422,8
Total;02 Aragón;4;2019;1.424,9
Total;02 Aragón;4;2018;1.364,9
Total;02 Aragón;4;2017;1.326,9
Total;02 Aragón;4;2016;1.325,1
Total;02 Aragón;4;2015;1.306,4
Total;02 Aragón;4;2014;1.326,3
Total;02 Aragón;4;2013;1.315,2
Total;02 Aragón;4;2012;1.320,7
Total;02 Aragón;4;2011;1.301,9
Total;02 Aragón;4;2010;1.309,9
Total;02 Aragón;4;2009;1.288,7
Total;02 Aragón;4;2008;1.266,3
Total;02 Aragón;4;2007;1.207,0
Total;02 Aragón;4;2006;1.147,0
Total;02 Aragón;5;2024;1.885,9
Total;02 Aragón;5;2023;1.844,1
Total;02 Aragón;5;2022;1.706,8
Total;02 Aragón;5;2021;1.643,6
Total;02 Aragón;5;2020;1.607,0
Total;02 Aragón;5;2019;1.594,7
Total;02 Aragón;5;2018;1.535,4
Total;02 Aragón;5;2017;1.497,1
Total;02 Aragón;5;2016;1.501,2
Total;02 Aragón;5;2015;1.494,8
Total;02 Aragón;5;2014;1.510,4
Total;02 Aragón;5;2013;1.500,0
Total;02 Aragón;5;2012;1.495,0
Total;02 Aragón;5;2011;1.475,4
Total;02 Aragón;5;2010;1.485,7
Total;02 Aragón;5;2009;1.444,1
Total;02 Aragón;5;2008;1.404,0
Total;02 Aragón;5;2007;1.341,5
Total;02 Aragón;5;2006;1.274,2
Total;02 Aragón;6;2024;2.125,1
Total;02 Aragón;6;2023;2.055,4
Total;02 Aragón;6;2022;1.911,3
Total;02 Aragón;6;2021;1.862,9
Total;02 Aragón;6;2020;1.824,2
Total;02 Aragón;6;2019;1.789,3
Total;02 Aragón;6;2018;1.757,2
Total;02 Aragón;6;2017;1.707,6
Total;02 Aragón;6;2016;1.700,2
Total;02 Aragón;6;2015;1.696,1
Total;02 Aragón;6;2014;1.724,8
Total;02 Aragón;6;2013;1.704,8
Total;02 Aragón;6;2012;1.693,5
Total;02 Aragón;6;2011;1.682,7
Total;02 Aragón;6;2010;1.671,6
Total;02 Aragón;6;2009;1.625,5
Total;02 Aragón;6;2008;1.581,0
Total;02 Aragón;6;2007;1.492,3
Total;02 Aragón;6;2006;1.419,0
Total;02 Aragón;7;2024;2.472,7
Total;02 Aragón;7;2023;2.348,2
Total;02 Aragón;7;2022;2.191,1
Total;02 Aragón;7;2021;2.150,8
Total;02 Aragón;7;2020;2.107,1
Total;02 Aragón;7;2019;2.049,8
Total;02 Aragón;7;2018;2.012,4
Total;02 Aragón;7;2017;1.955,3
Total;02 Aragón;7;2016;1.978,8
Total;02 Aragón;7;2015;1.974,8
Total;02 Aragón;7;2014;1.993,0
Total;02 Aragón;7;2013;1.979,3
Total;02 Aragón;7;2012;1.928,1
Total;02 Aragón;7;2011;1.921,1
Total;02 Aragón;7;2010;1.905,4
Total;02 Aragón;7;2009;1.859,6
Total;02 Aragón;7;2008;1.798,4
Total;02 Aragón;7;2007;1.701,7
